Date,Close,High,Low,Open,Volume,rsi,EMA_SLOW,EMA_FAST,macd,Signal_line,middle_band,upper_band,lower_band,above_bb_high,below_bb_low,TR,+DM,-DM,Smoothed +DM,Smoothed -DM,Smoothed TR,+DI,-DI,DX,ADX,OBV,PVT,Signal Line_PVT,VROC,rolling_min,rolling_max,%K,%D,MA_FAST,MA_SLOW,intraday_momentum,volume_weighted_return,money_flow_volume,upper_shadow_ratio,lower_shadow_ratio,close_position_in_range,day_of_week,month,quarter,day_of_year,week_of_year,is_quarter_end,is_quarter_start,is_last_day_of_month,is_first_day_of_month,days_from_month_start,days_to_month_end
2020-07-14,101.12000274658205,106.0,95.4000015258789,103.73332977294922,351271500,,80.54410373357078,89.0735543222091,8.529450588638326,5.546264984528558,,,,0,0,10.599998474121094,0.0,2.6739959716796875,,,,,,,,1390975500.0,115350885.53195202,86963110.45242655,,,,,,89.92140121459961,,-2.6133270263671733,4631817.909897224,27836744.885976616,0.022415646412779006,0.05656646622599915,0.5396228338401896,1,7,3,196,29,0,0,0,0,13,17
2020-07-15,103.06732940673828,103.33333587646484,97.13333129882812,102.86666870117188,245517000,,82.21249082047208,91.22644279675205,9.01395197627997,6.239802382878841,,,,0,0,6.200004577636719,0.0,-1.7333297729492188,,,,,,,,1636492500.0,120078949.08649674,97517734.93748194,,,,,,93.02940063476562,,0.20066070556640625,4728063.554544724,224449560.215948,0.0025808999925767233,0.05562710739464108,0.957095760822984,2,7,3,197,29,0,0,0,0,14,16
2020-07-16,100.04266357421876,102.11399841308594,97.73332977294922,98.47733306884766,214512000,,83.53324435778664,92.58278445482385,9.049540097037209,6.8017499257105145,,,,0,0,5.3339996337890625,0.0,-0.5999984741210938,,,,,,,,1421980500.0,113783771.74174438,105086758.45842046,,,,,,95.56946716308593,,1.565330505371108,-6295177.344752359,11654301.546240961,0.020704515100434775,0.007436860127900477,0.5271646832264915,3,7,3,198,29,0,0,0,0,15,15
2020-07-17,100.05599975585938,102.50066375732422,99.33333587646484,100.89666748046876,139950000,83.8785752634862,84.75715216505128,93.73250988575239,8.975357720701112,7.236471484708635,,,,0,0,3.167327880859375,0.38666534423828125,0.0,53.53533172607422,2.0319976806640625,107.3839988708496,49.85410516371345,1.8922723143398112,92.68635832472576,,1561930500.0,113802427.76862253,108036691.86223137,,67.29000091552734,103.06732940673828,91.58313440977386,,97.517333984375,,-0.8406677246093892,18656.026878149823,-76087454.595158,0.016030985454235223,0.007222594158127788,0.22816200415500856,4,7,3,199,29,0,0,0,0,16,14
2020-07-20,109.53333282470705,110.0,99.1999969482422,101.267333984375,256821000,86.52035355550073,86.59242480650725,96.16340572251465,9.5709809160074,7.7033733709683885,,,,0,0,10.800003051757798,7.499336242675781,0.0,61.03466796875,2.0319976806640625,114.085334777832,53.4991356142382,1.7811208466198947,93.55603262122693,,1818751500.0,138128586.73973402,113212185.10498145,,71.98733520507812,109.53333282470705,100.0,,99.32680053710939,,8.265998840332045,24326158.97111149,234626574.4568446,0.004260503750006273,0.01887404484671844,0.9567900876856787,0,7,3,202,30,0,0,0,0,19,11
2020-07-21,104.55733489990234,111.66666412353516,103.86666870117188,109.32866668701172,241608000,78.0225116668157,87.92315888749948,97.45477944211277,9.531620554613284,8.069022807697369,,,,0,0,7.799995422363281,1.6666641235351562,0.0,57.522003173828125,2.0319976806640625,116.28800201416013,49.4651229512257,1.7473837760293025,93.17594904957326,,1577143500.0,127152558.93511829,117637164.73544751,,74.64199829101562,109.53333282470705,85.73858526391466,92.44057322456284,100.51680068969728,,-4.771331787109375,-10976027.804615742,-198820672.34118062,0.022360912685256404,0.006605621684271312,0.0885470004078204,1,7,3,203,30,0,0,0,0,20,10
2020-07-22,106.15533447265624,108.4280014038086,104.13333129882812,106.5999984741211,212416500,77.61550329218582,89.27369041232592,98.79332636988869,9.51963595756277,8.359145437670449,,,,0,0,4.294670104980469,0.0,-0.26666259765625,54.34600067138672,1.7653350830078125,116.88134002685544,46.49672963956421,1.5103651982448159,93.7077417271445,,1789560000.0,130399021.52495801,122016799.61781083,,80.57733154296875,109.53333282470705,88.33403024408203,91.35753850266558,102.02646713256836,,-0.44466400146485796,3246462.589839727,-12397952.946825603,0.01722007601969509,0.01904758892883021,0.47081687759324126,2,7,3,204,30,0,0,0,0,21,9
2020-07-23,100.87133026123048,112.5999984741211,98.71800231933594,111.93000030517578,364927500,67.98922043318726,90.13277484557811,99.11301927624896,8.98024443067085,8.48336523627053,,,,0,0,13.881996154785156,0.0,5.4153289794921875,48.167999267578125,7.1806640625,123.53866577148435,38.99022137463981,5.812483093983251,74.05298111834323,,1424632500.0,112234334.3102824,120183289.25121814,,91.05867004394533,109.53333282470705,53.11415062743882,75.72892204514517,102.81839981079102,,-11.058670043945298,-18164687.21467562,-251714879.13301808,0.006642107000510162,0.021347274157131804,0.15511659247947004,3,7,3,205,30,0,0,0,0,22,8
2020-07-24,94.46666717529295,97.66666412353516,91.10266876220705,94.40066528320312,290949000,52.91437843051843,90.45380390703846,98.39819587610188,7.9443919690634175,8.375570582829107,,,,0,0,9.768661499023438,0.0,7.615333557128892,38.181999206542955,14.795997619628892,122.03199005126949,31.28851638861375,12.12468764412727,44.142857389732534,,1133683500.0,93760994.90487714,118299058.94930951,,91.05867004394533,109.53333282470705,18.44687056965656,53.298350480392465,101.96739959716797,,0.06600189208982954,-18473339.405405253,7269362.5597662935,0.03387435000713557,0.03491174844273037,0.5124925023226002,4,7,3,206,30,0,0,0,0,23,7
2020-07-27,102.63999938964844,103.1959991455078,94.1999969482422,95.66666412353516,240730500,58.47367532119,91.35648505389847,99.05078103203212,7.694295978133653,8.239315661890018,94.39470024108887,118.28401580447925,70.50538467769849,0,0,8.996002197265597,5.529335021972642,0.0,40.263999938964844,14.795997619628892,124.84198760986322,32.25196963764438,11.851779920283747,46.25500081476287,,1374414000.0,114589191.87065837,118214426.32027687,,91.05867004394533,109.53333282470705,62.68763594301237,44.749552380035915,102.2509994506836,,6.973335266113281,20828196.965781223,210973704.18164104,0.005416989079417953,0.014289430863909165,0.9381947944154226,0,7,3,209,31,0,0,0,0,26,4
2020-07-28,98.43267059326172,104.3133316040039,98.29467010498048,100.26667022705078,237130500,55.993888810130045,91.88064694570315,98.95568711837512,7.075040172671976,8.00646056404641,95.95183372497559,116.18192765101364,75.72173979893753,0,0,6.018661499023423,1.117332458496108,0.0,41.38133239746095,13.104667663574205,123.79931640624994,33.426139657885734,10.58541197478908,51.89711981465194,,1137283500.0,104868946.47817641,116524426.03046352,,92.9520034790039,109.53333282470705,33.05324319897225,38.06258323721372,101.98226623535156,,-1.8339996337890625,-9720245.39248195,-226256279.56977153,0.041110957897946464,0.0014019785040421623,0.022928767147702162,1,7,3,210,31,0,0,0,0,27,3
2020-07-29,99.94066619873048,102.32066345214844,99.13333129882812,100.06666564941406,141403500,55.716480614272456,92.47768540889035,99.10722236150671,6.6295369526163626,7.731075841760401,97.3495002746582,114.18626134415638,80.51273920516002,0,0,3.8879928588867188,0.0,-0.838661193847642,41.961334228515625,12.266006469726562,123.86864471435543,33.87567073594745,9.902430512590428,54.76080400850572,,1278687000.0,107035258.28616367,115774591.20206565,,94.46666717529295,109.53333282470705,36.331854378479555,44.02424450682139,101.66959991455079,,-0.12599945068357954,2166311.8079872536,-69769936.01874386,0.022553359790766267,0.008078142066976055,0.2532948743758604,2,7,3,211,31,0,0,0,0,28,2
2020-07-30,99.16600036621094,100.8826675415039,98.06666564941406,99.1999969482422,114315000,46.327230286672986,92.97311614646966,99.11626513146122,6.143148984991555,7.413490470406632,98.57570037841796,111.58671739506299,85.56468336177294,0,0,2.8160018920898438,0.0,1.0666656494140625,32.60400390625,13.332672119140625,115.15731811523432,28.312576603793598,11.57778970312511,41.951950934494064,,1164372000.0,106149173.29180932,114924229.59353085,,94.46666717529295,109.53333282470705,31.190266647356907,33.52512140826957,101.58193359375,,-0.03399658203126421,-886084.9943543507,-25060480.229295466,0.016968220830507173,0.011085802720955518,0.39038848517148517,3,7,3,212,31,0,0,0,0,29,1
2020-07-31,95.38400268554688,101.13666534423828,94.73200225830078,101.0,183123000,45.78940712519604,93.15170033454946,98.54207090901286,5.390370574463404,7.008866491217987,99.31603393554687,109.36219011060481,89.26987776048892,0,0,6.4046630859375,0.0,3.3346633911132812,16.19933319091797,16.667335510253906,99.96997833251947,16.20419796134781,16.672340824977603,1.4239420599364065,,981249000.0,99165219.53025147,110594966.57025501,,94.46666717529295,109.53333282470705,6.088510434885728,24.536877153574064,101.11473388671875,,-5.615997314453125,-6983953.76155785,-145838829.58674756,0.0014327910380789845,0.006835532257198232,0.10180089373626224,4,7,3,213,31,0,0,1,0,30,0
2020-08-03,99.0,100.65399932861328,96.29199981689452,96.61333465576172,132139500,48.065219374195344,93.58490771717543,98.6125215383955,5.027613821220072,6.612615957218405,99.69410057067871,109.03651365554025,90.35168748581718,0,0,5.269996643066406,-0.482666015625,0.0,15.716667175292969,13.993339538574219,94.63997650146479,16.60679530605094,14.785865398389694,5.800495615217693,,1113388500.0,104174613.80686198,108041861.55600432,,94.46666717529295,109.53333282470705,30.088494230860807,22.455757104367816,100.06140060424805,,2.3866653442382812,5009394.2766105095,31929197.887049176,0.016707063923699098,0.0032458064528761987,0.6208162494338024,0,8,3,216,32,0,0,0,0,2,28
